content,label
number for aaa to help with dead car battery,27
how do i report a melted credit card,46
"after another eight days, what day will it be",22
when will my amex card reach its expiration,1
who is your manager,26
i keep trying to figure out if i have enough money in my chase account to purchase a new set of tires,21
the statement is false,5
what if you need to get a new credit card,30
can you tell me your name,6
"i wanted to remember somethings, what was it",15
please transfer $50 to my checking account from credit,28
please tell me if there's been any word on my vacation request,11
which days did i take off work,18
what is the month and day tomorrow,22
i would like to change your name to eli,16
do i have enough funds in my card,13
what's your name if i may ask,6
give me a joke about water,29
what date do i have to pay the phone bill on,8
that is overwhelmingly false,5
i need instructions on how to jump start my car,27
check travel alerts for kenya,17
when is my pay period,9
do i need a vaccination for spain,7
find out the best tourist attractions to visit in moscow,44
can you book me a room in new york city from april 2 through april 8,48
what kind of mpg does this car get in the city,37
"from january to august, i will be in uruguay, please let me bank know",3
pull up the ratings for macaroni grill,25
describe who it is you work for,26
how are the donuts reviews at tgi,25
i cracked my rewards card can i get a different one,46
how do you jump start a subaru forester,27
"if a recipe calls for sour cream, can i use yogurt",40
when is my electricity due date,8
from now on i'm going to call you ishmael,16
what are my health benefits like,2
is it safe to travel to russia,17
i need you to repeat that please,43
will i receive a fee if i use my card in ireland,38
can i obtain health benefits,2
"find me a flight from nyc to la on march 1, returning on march 5",4
"i need to get some assistance figuring out how i can rollover my 401k, please",34
i wish to know the balance of my bank of american account,21
does american express charge transaction fees for iceland,38
tell me a joke about dogs,29
how can i figure out the interest rate for my columbia account,19
does my mastercard have any rewards points remaining,23
what kind of gas mileage does this car get when going through a city,37
"send twelve dollars between cabelas and bank of london accounts, please",28
that is not false,42
don't know,20
what's your boss' name,26
what is the interest rate on my charles schwab checking account,19
what points have i earned on my visa,23
"my card got scratched badly, can you tell my bank to send a replacement",46
does visa charge transaction fees in the uk,38
tell me what my tire pressure is,36
what is the name of my insurance plan,2
when do i have some time off next,35
list the things i wanted to remember,15
put cleaning on my to do list,12
please help me find my phone,49
on my card what have been my recent purchases,39
will my amex institute international transaction fees on a charge,38
do i need vaccinations if i go this country,7
flip that coin now,10
can you tell me my routing number,32
id like a rental car in denver colorado between january 1st and january 3rd and id like a ford if possible,33
how much gas does this use in the city,37
how many calories does a scoop of chocolate ice cream contain,45
i need to know if it is possible to rollover my 401k,34
how many days off have i used,18
how long is it until my credit card expires,1
i wanna set up a direct deposit for my paycheck,41
"yes, that's confirmed",42
i need my money to be moved,28
when do i have to pay my water bill by,8
is it correct to say you work for me,26
i'd like to use another name for you,16
when do i get my paycheck,9
do i have enough in my sears account to buy a new dishwasher,21
what's the status of my vacation days,11
"when is the next scheduled holiday, please",35
there is no juice in my battery please help,27
please let's do it,42
"i need a van that seats 8 or more for new york city, august 12th, 13th, and 14th",33
send 20 dollars from savings to checking,28
how many calories are in a bag of regular doritos,45
can you make me laugh,29
are there any travel alerts for russia,17
"i choose heads, now flip that coin",10
when is the next day i get paid,9
please help me set up direct deposit,41
why did my card get declined at the dentist office,13
are my tires low on air,36
is my at&t bill do soon,8
ways to transfer my 401k,34
i need to know when my water bill is due,8
transfer seventy dollars between national and citizens accounts,28
i gotta find the interest rate for my checking account,19
give me the pressure for the tires on my car,36
i need to apply for a new credit card,30
please tell me the month and year of expiration for my discover card,1
i've used how much pto so far,18
how good are the ratings for papa john's,25
would you like to tell me a joke,29
is there a better way to check my visa rewards card balance,23
do i have enough money in my charles schwab account to get a new baseball bat,21
send 100 dollars from my vanguard money market to my wells fargo savings,28
please run that by me again,43
flip me a coin i'm calling tails,10
i have no clue,20
"yes, ai, that is correct",42
can you help me book a car rental in seattle,33
my card is not working and i need to let them know,46
i need to throw some money into that other account,28
are there any exciting tourist things to do in boston,44
how is the traffic typically at noon on the route to hospital,14
can you tell me my bank balance,21
for which reason was my card declined yesterday,13
what's my checking look like,21
when is my cell phone bill due,8
what's the process for getting an american express card,30
will i be charged extra for using my card in spain,38
what's the balance on my bank account,21
did i request a reminder for my niece's graduation,15
what interest rate am i getting from onewest bank,19
say it again,43
what was my recent transaction,39
how many rewards points do i have for my mastercard,23
"i want a hotel with good review in honolulu, can you find one",48
i would like to change your name to fred,16
will you roll a 10 sided dice,31
later!,0
how much pto is gone,18
i want to hear a joke that’s funny,29
find the nutrition info for ketchup for me,24
say it one more time please,43
to what extent until the following free day,35
tell me nutritional info for beans,24
how do i let my bank know i'm going to vietnam,3
good night,0
regards,0
i need to see my shopping transactions,39
"alexa, book a rental car to los angeles county in 2 hours",33
tell me if there is any transaction fee using royal card in europe,38
please check and report on my tire pressure,36
thats a negative,5
"i didn't hear what you just said, can you repeat it",43
how expensive is it to fuel this car,37
it is a true,42
please find the routing number for chase bank accounts opened in new york,32
what is the process to move money from one account to another,28
tell me the date,22
tell me my current savings account's interest rate,19
what's the mileage on my car,37
can i change your name please,16
please flip a coin i select tails,10
what are the thing i told you to help me remember,15
i need to know my health benefits,2
will you repeat my reminder list,15
how much interest do i get on my citizen's savings account,19
where are my rewards for my chase card,23
do i have more than $100 in my pnc account,21
who controls you,26
what is the date of my last paycheck,9
this was a nice chat,0
check when the next day is i can go fishing will be,35
what interest rate will regions give me,19
is there anything neat to do in boston,44
"i want to bring my card on the texas trip in june, will it be expired by then",1
please tell my bank i'm traveling to mexico between next wednesday for a week after,3
are pasta dishes healthy,24
what date will it be 8 days from now,22
tell me my current health plan,2
when was my last payday,9
roll dice please,31
i'm looking for a flight from billings to cleveland on may 2 and a return on may 9,4
mark down cleaning the bathroom on my list of things to do,12
find my next payday,9
are there any travel alerts for juarez,17
i need to know the interest rate on my bank of america cd account,19
today is what day of the week,22
shoot the dice!,31
i want to know the bofa routing number,32
how can i figure out my interest rate for my umpqua account,19
i need some help finding my phone,49
what is the validity of my credit card,1
can you check the tire pressure,36
"let my bank know i'll be in ireland from may 01, 2019 to august 02, 2019",3
where in the world is there a travel alert,17
is there traffic expected,14
can you add laundry to my to do list,12
i need a timer for 45 minutes,47
what's the name you were given,6
"for my westport account, what is the routing number",32
i wanna know how low are my tires on air,36
what's the balance of my bank accounts,21
"will i be able to get to the mall at 5:00, or will there be a lot of traffic",14
where do i find information on when the water bill is due,8
when is my car insurance due,8
i must know what the traffic is like on the way to phoenix,14
what are the nutrition facts for a medium popcorn at the movies,24
help remind me that i need to add laundry to my list of housework,12
what are some fun silly things to do in new jersey,44
do a coin flip,10
"siri, book a car rental to the poconos today right now",33
"when my house burned down, so did my card",46
"i can not use my card, it is damaged",46
is it safe to fly to russia,17
can i transfer my 401k somewhere,34
can you tell me how to transfer my 401k,34
who can i rent a car from next month in orlando,33
would you let me know today's date,22
"i'd like you to book me a room in austin near google's headquarters from january 01, 2020 to february 02, 2020",48
what month is my card expired in,1
can you help me locate my phone,49
please repeat over what you said,43
perform a search for my most recent balance on my amex account,21
"yes, that's what i want",42
i wanna find a hotel with good reviews in phoenix,48
what's a good use of my time in toronto,44
is there enough money in my bank of hawaii for vacation,21
i don't know how to jump start my car,27
what day is payday,9
do you have a name,6
what's the current reward amount on my visa,23
i would like to listen to a funny joke,29
"yup, that's true",42
who is your job with,26
what's the next holiday,35
show me how to rent a car in las vegas,33
can you tell me how much pto have i use,18
show me all transactions for current statement,39
"that would be ""no",5
my card was malfunctioning and was returned to me,13
"no, that's not right",5
i enjoyed talking to you,0
can a car be rented from tuesday to thursday out of lax,33
whats my recent transactions on my card,39
if i use my discover card in cuba are there transaction fees,38
could you book me a hotel in tampa from may 2 to may 4,48
what day is my telephone bill due,8
my interest rate please,19
is there a list of recommended shots to get before travelling to kenya,7
please let me know why my card was declined yesterday,13
let me know the list of transaction on my first hawaiian bank,39
let me bank know i will be in brazil from june 1st to july 1st,3
what are the steps for setting up direct deposit for my paycheck,41
"i'd like my checks to be deposited into my account directly, how do i do that",41
how do i jump start a bad battery,27
i'm traveling tony soon and want to inform my bank,3
i really gotta book a place to stay in phoenix from the 5th to the 9th of march,48
i know that is true,42
great,42
please give me a quick tutorial on jump starting my car,27
i would like to know the mpg for this car,37
help me move my money,28
is there a surcharge for using my card in italy while i'm there,38
what is the total day off have i taken,18
"in 5 days from today, what will the date be",22
what is there to do in evans,44
buhbye,0
can you set a timer for me for fifteen minutes starting now,47
what's the funniest thing you know about artificial intelligence,29
i need a timer set for 15 minutes,47
catch you around,0
should i be concerned about the air in my tires,36
transfer money from this account to that account,28
look up travel alerts for canada,17
get me a flight for tuesday on spiritcom to las vegas from chicago,4
what's the name of my medical coverage,2
am i approved for vacation yet,11
i dunno,20
can i substitute skim milk for whole milk,40
i need to let my bank know i am traveling to chicago,3
do you know how the ratings are for yardhouse,25
what would the routing number for chase be,32
tell me what health plan coverage i have,2
how much money do i have in my pnc account,21
are there any necessary shots required before travel to thailand,7
how good are the ratings for chic-fil-a,25
which hotels in evans have good reviews,48
i am needing for you to say that again,43
can i swap yogurt for sour cream,40
when is the expiration date for my discover card,1
check if getting a light bulb is on my list of reminders,15
i would like to know my electric bills date it needs to be payed,8
i was in australia trying to buy chips and my cards got declined,13
i would like to apply for a new card,30
i'd like to rent a vehicle from nov 1st to nov 15th in san antonio and i need a 15 passenger van,33
tell me the routing number for my wf account,32
set a timer to go off in 5 minutes,47
i would like that repeated,43
traveling to the uk am i going to need any specific shots,7
i need to let my bank know i am traveling to new york,3
for under 700 i need a flight from denver international to new york international on the 3rd,4
is it necessary to get a shot for travel to india,7
please set a timer for me,47
can you explain my benefits,2
what are the main attractions in gatlinburg,44
what's the calorie count for tuna casserole,45
send money to another account,28
can i swap chili for sloppy joe mix in the recipe,40
let me know the amount of vacation days i have used,18
that appears true,42
i need to book a flight from texas to new york on may 25th and returning on the 28th,4
i want to change your name to sarah,16
"what is tomorrow's date, please",22
whats the cars fuel mileage like,37
"going to work, will there be traffic",14
what day is my car insurance due,8
inform my bank i'm seeing italy,3
nada,5
what do i do to have my paycheck deposited directly in my account,41
what's my vacation status,11
tell me what the interest rate is on my personal loan through chase,19
what is the mpg for this car in city,37
i am going to address you as my own name,16
how long do i have left to pay for my chase credit card,8
may i know my insurance benefits,2
can i rename you,16
tell me about my health insurance,2
make sure my to do list is completely clear please,12
i need to get from jfk to dallas with united for under $500,4
