content,label
have remainder of the program to listen,15
will you say once again.,10
"you are star, musch appreciated, olly.",8
yeap you have got my instructions correcly.,1
tell me if the olive garden allows takeaway,22
i just want to know some information about you,9
please can you stop it.,2
tell me a nice chinese restaurant,17
place family phone on instagram,19
evaporated,0
can you contact samsung and say my washer is on fire,19
can you shut off please.,2
what's your favorite color,9
can you speak the command spoke one more again please.,10
i would not bother.,4
"s1, rephrase this further.",5
would you please check instruction.,3
start the gilmore guys,14
movie times tonight,18
"that was cool, i appreciate it.",8
progress from the last paused point of my audio book,11
play radio,15
resume harry potter book four,11
will you rephrase me about your response once again please.,5
olly i want you just stop it.,2
order a double bacon cheeseburger with bacon an white american cheese,21
what's next,9
tell comcast i am still on hold,19
go to the station fm ninety six point five,15
play newest reason podcast,14
get me takeaway food,21
"that was good one, thank you so much.",8
this is a tweet for comcast if i have my internet and phone service from you and it goes out how can i contact you,19
check and confirm last thing said please.,3
i need ninety nine point five please,15
please open snooker game i would like to play with you,12
play my usher radio station,15
start the satellite music feed,13
please play football with me,12
which book fair events are taking place next week in washington dc,16
what's happening at the library this month,16
what is a funny joke,6
what do you do with my personal data,9
say again.,10
today i had a record breaking sale,9
can you tell me a good place to eat,17
has wendy posted on facebook,20
play true love next,13
play the audiobook swan from first,11
"olly that is enough, cancel.",2
please would you just cancel it.,2
will the fast food shop at the corner open today,17
yeap you get that perfectly.,1
what events are in me area,16
can you explain me the problems when the syria becomes more stronger than america,9
tell me the preparation method for chicken sixty five,0
how does production and population affects us,9
audio start,11
play that podcast please,14
let's play workout playlist,13
where is a theatre in my area,17
please open audible app and resume play,11
what does one have to damage in cream to make butter,0
instagram,20
book swan resume,11
does dominos deliver,22
please will you shut down.,2
how about a game of snakes and ladders,12
that's not the correct answer.,7
what is the best mexican restaurant in seattle,17
resume my audiobook from the beginning of the last chapter i started,11
will you check and confirm the instruction please.,3
could you speak it one more again please.,10
yes your understanding was perfect.,1
what you just said was not so clear to me.,5
read to me,11
olly would you shut off.,2
has derek logged into facebook today,20
is there any chinese places in benton ar,17
"that is all, stop it.",2
check my last post on instagram,20
strongly agreed.,1
play for me hip hop music,13
you've gotten your understanding correcly.,1
thank you very much for your answers.,8
inform me about the most popular rom com movie playing now in theatres across new york,18
play hurt by johnny cash next,13
can you confirm what said please.,3
find hotel order food name,21
can you feel,9
is anyone likes my latest photo,20
social info,20
open fishdom game,12
vitaly channel,14
could you tell me again please.,10
play my preferred song,13
"olly that's enough, just stop it.",2
call pizza hut and find out if my order is ready,22
hey i am having a bad day today what can i watch to cheer me up,9
recipe for meal,0
wouldn't really mind for whatever.,4
"that is all, just stop.",2
i would like you cancel it.,2
play all songs by martina mcbride,13
please make sure your command was correct because it doesn't sound right.,7
show me the places where i was,9
two thumbs down @companyname,19
how can i cook pizza,0
my day was so busy,9
i don't understand what you just said now.,5
"you are my hero, thank you very much, olly.",8
this was not correct command.,7
start over the book legacy,11
explain further please.,5
start playing again,11
turn on a country music station,15
"that's all, stop.",2
go to sirius and play the hip hop channel,15
resume mind reading book,11
fraud in weighing products,19
tweet this tweet coffee was too hot and at this company costa coffee,19
suggest a good genre movie that came out recently,18
what shops are near me,17
find me a recipe for chicken noodle soup,0
order mcdonalds,21
what are you doing,9
do not get this.,5
i don't really mind for anything.,4
start a takeaway order for me,21
start candy crush,12
play a song that will make me smile,13
get me updates from kenny's facebook from the weekend,20
places to order takeaway food,21
can you please order me some mcdonalds,21
olly please can you shut up.,2
"that's good one, olly.",8
nearest restaurants available at this time,17
command was confirmed.,1
do you have a funny joke for me,6
can you find me a furniture store near me,17
"oops, you're not correct.",7
what you have said was not so clear to me.,5
"it's perfect job, musch appreciated, olly.",8
find the events,16
i need a funny joke to tell sam,6
"you rock,.",8
"that's good one, thank you very much.",8
which rom com movie can i watch in theatres around new york,18
i want to take karate classes where are local karate studios,17
what movie should i see,18
i'dl like to hear any classical except for bach or schubert,13
find me new comments from my facebook,20
today's local events,16
tweet @wendys that i don't like their product,19
please show me best run program in jodhpur,16
lets listen to hunt for read october,11
i do not catch up with you.,5
what chinese restaurants are in my area,17
i had a relaxing day today,9
it should spices,0
you've gotten my instructions exactly.,1
refer local current events,16
please will you shut up.,2
i couldn't get what you've said.,5
play audiobook,11
check and confirm the last thing said please.,3
could you please check and confirm details.,3
call and order pizza for delivery,21
"that's helpful,.",8
list all the shops that are located in milan,17
play hip hop songs,13
how long do i roast chicken breasts,0
"stop, you didn't instruction the request right.",7
what's on your mind today,9
play the twilight book,11
play games,12
hello google post my current status on twitter mentioning a great trip to paris with friends and family,19
find and queue all songs of kate perry and play all without shuffling,13
does the nearby dominos have delivery,22
yes you get your understanding perfectly.,1
crack a joke,6
places with pizza delivery near me,21
play bbc radio one,15
will you check and confirm my last command.,3
can i take food home here,22
can you play a game with me,12
complaint to dept for food quality,19
what is a funny joke about car,6
"s2, i was not so clear about what you said now.",5
"s2, i didn't catch that.",5
whatever is good.,4
please send a complaint to someone,19
resume play of american gods,11
tell me all events for today in my city,16
will you please again elaborate.,5
where can i go shopping in this area,17
could you repeat that.,10
please would you speak one more again.,10
i need two pizzas stat,21
did you get it correctly?,3
can you put this on facebook,19
it must be mistake.,7
"that is of no importance, olly.",4
play the previous podcast,14
suggestions for future,9
can i see the previous episode,14
can you tell me about any local events coming up,16
read me new post on my feed,20
"s2, i didn't quite catch that.",5
let's play fmod,12
it's exact.,1
start chapter seven of alma,11
what time does thor start,18
"shit, you made a mistake, please correct this.",7
"excellent work, you have done well.",8
which teams are playing this weekend,16
olly can you please shut off.,2
play current episode,14
don't care.,4
we are going to play poker together,12
tell me all local events,16
is fongs dine in only,22
olly can you stop it.,2
can you tell me what kind of show can i go tonight in miami,16
takeaway noodles one pack,21
can you confirm the details please.,3
list and play all theory podcasts under ten min,14
"it's excellent, appreciated.",8
please play next episode of podcast,14
please tweet the following complaint,19
yeap you've got your understanding right.,1
sorry but it's not the right answer.,7
two thousand and seventeen movies,18
you've done that correctly thank you very much.,8
can you recommend good stores in this area,17
don't bother.,4
queue up ymca,13
give me the list of circus shows going on in the city right now,16
"s1, please explain me more on your answers.",5
Play my favorite game by name naughty dog,12
doesn't really matter for me.,4
please will you just cancel.,2
tell me a joke,6
check the dish price and all,22
go to youtube and play me the best wedding songs collection,13
"dammit, it isn't what i am looking for.",7
confirmed.,1
play from favorites song,13
resume the art of war,11
what is the highest rated joke today,6
i'd like to play monopoly,12
"s2, last sentence was not clear.",5
confirm the order and send me the confirmation,21
play game with me,12
i would like you stop.,2
what about this joke,6
you have done that correctly thanks.,8
do you know what a joke is,6
i'd like to hear the last spoke again.,10
what did happen today,20
stop and start over.,10
i am unclear about your answer.,5
i would like to listen to this programme on radio,15
i would like you to check the question please.,3
yeap you've gotten my instructions perfectly.,1
pull up peking garden online,21
what do i need to make pot roast,0
start reading fifty shades of grey from chapter four,11
what's your favorite joke,6
please would you reset.,10
would you please check and confirm detail.,3
what's trending on twitter,20
"you are so helpful, thank you so much.",8
seems like the response was not correct.,7
show me pancakes,0
what movies are playing tonight at nine pm at the amc nine,18
please go to the local sports talk show on the radio,15
let's play checkers,12
schedule pizza takeout for seven pm,21
start the radio now,15
"dammit, it isn't what i asked.",7
find out if the olive garden will let me do takeaway,22
what are the ingredients in macaroni and cheese,0
"nope, you did a task in wrong manner.",7
tell me it one more again please.,10
please order me pizza and wings from papa johns now,21
yeah you got your understanding perfectly.,1
any restaurant in the beautiful,22
are there dog shows going on near new york city,16
tweet your waiting time sucks tag koc,19
i don't really mind.,4
check to see if pizza hut has my order on the way,22
i would like to order takeaway,21
just cancel please.,2
what are new drama movies opening this weekend,18
could you tell me once again please.,10
play book,11
play alex jones in radio,15
play song over the rainbow,13
podcast play,14
"really i don't mind, olly.",4
what can i do for fun under dollars around me,16
let's play canasta,12
what pubs are close to me,17
"no, you don't get what i just requested.",7
play radio javan,15
it's not the correct command.,7
read the audiobook of war of the roses,11
has anyone follow me today on twitter today,20
where is mcdo,17
pull up the complaint website for starbucks,19
could you manipulate roip for me,9
what is happening in delhi today,16
