content,label
Is the ATM broken? I can't get cash from it.,62
If I am running low on credit can I auto top up?,22
Why is my exchange rate wrong for an item I bought?,1
Will you charge an extra fee for top ups?,70
Can this card be used at all ATMs?,14
"How do I reset a forgotten passcode, please?",26
I was wrongfully charged one pound.,29
"I tried to take out some money from an ATM earlier today and it was declined. Looking on my screen now, I still see that it's pending for that amount. I didn't actually get that money, so I don't want it processed on my account.",46
Why isn't my refund showing in my statement?,58
"When I got my cash, the amount was not what it should have been, based on the exchange rate.",55
How long after a failed topup will funds refurn to account,68
Tell me why there is a charge on my cash withdrawl.,49
Some cash was missing at ATM.,9
Am I able to track a card that has already been sent?,66
When will the transaction go through?,54
I need it delivered by Saturday.,41
Have you sent out my card yet?,66
My app shows a payment I didn't make,76
How long does it take for a transfer to reach my account?,16
How do I change my pin while traveling?,33
How do I deposit through bank transfer?,40
Hello. I'm on holiday and didn't bring any cash with me. I need to withdrawal my home currency from one of your machines. Do you have any that will do this and is there a charge?,55
"Hi. I just withdrew cash from an ATM and received the wrong amount. However, my app shows the correct amount I withdrew. How do I get the rest of the cash?",9
When I topped up the app has seemed to reverted it.,5
Why is there a direct debit fee in the App when I didn't do it?,13
Is there a problem that makes my payments show pending?,54
Why can't I see a transfer to my account?,50
Why would my payment still show as pending?,54
What is a pending payment?,54
can I use it in any country?,3
Can I get my money back on an item?,37
Why can't I withdraw cash from this ATM?,62
What is the rate for exchange fees?,73
The exchange rate was messed up from the ATM,55
My credit card was just denied for top up! Can you tell me why this happened and what's going on?,24
What should I do if my physical card isn't working?,72
"I'm pretty frustrated about a pound charge that keeps  showing up in my account statement. It's listed in the app as ""pending"", it never changes, and now I'm thinking someone's hacked my account!",29
Do you know how to change my card PIN?,33
What is the importance of verifying the top-up?,59
I don't understand why I'm being charged for using my card.,17
Which cards do you support for top up?,39
I'm not sure how to complete the identity checks process.,47
Is Visa or Mastercard available?,31
Are you ripping people off with the exchange rate?  It can't be that atrocious between banks.,1
Will I be charged any fee for receiving money?,36
What is maximum top up?,69
What is the most I can top-up?,69
Is it possible to get a real card?,57
What do I do if I notice a strange withdrawl in my statement?,12
"My cash withdrawal was declined, why?",62
My account is showing a double charge.,71
"My card will expire next month, will I need to order a new one?",18
The wrong rate was applied to an item I bought in a currency different from mine. Can this be changed?,1
"If I need more cards, are there any fees?",8
Can I link an existing card?,52
i can not see my top up,65
My card has been stolen what do I do?,30
What do you do to transfer money to my account?,40
Purchases I did not make are appearing in my bank statement?,13
"I recently reported my card as missing/lost, and I just found it. Can I still use it?",52
What are my bank details so I can do a transfer?,40
How long do I have to wait for Europe transfers?,16
Where do I find my code to verify my top-up card?,59
Do you do business in the EU?,3
Can you tell me where you get your exchange rates?,38
I tried to used my card in a shop and the transaction was declined.,67
I want my account deleted!,25
The top-up is broken.,68
"Hello, I trying to top up with my card today but it didn't work. When I tried last time it worked but today it isn't. Could you take a look at it for me?",24
How will I get my card?,41
Show me the source of my money.,32
My transfer didn't work,20
"My phone got stolen, how can I use the app?",27
My purchases from this morning still have pending payments.,54
I want a new PIN please.,33
Salary in GBP has been received. Does it need to be configured into another place?,53
Is it possible to use Apple Pay to put money in my account?,64
Is there anything to do because my phone was stolen?,27
Can I use check to deposit?,43
"Card payment is still pending, why is that the case?",54
What is the function of the disposable cards?,61
Where do I get a virtual card?,45
Where can I withdraw money from?,14
"My account is blocked, how do I log in now",15
"i know i entered the right info, but my top up isn't in my balance",65
I took out some cash from the ATM but it is still showing the transaction is pending.,46
Where's my virtual card,45
Why did my transfer decline,56
What fiat currencies do you support?,51
What currencies can I have?,51
My top-up funds aren't available yet.,68
What do I do to verify my source of funds?,32
"Do I have to top up in euros if I use a card, or can I use a different currency?",39
My refund is missing,58
There was a fee charged when I paid with my card.,17
I no longer want this can i cancel my purchase?,37
Can another family member hold a card for this account in addition to mine?,8
"i put in money for vacation and its not showing. i need that money today, how long will it take",63
What do I do to lock my phone after losing it so my account isn't accessed,27
Why hasn't my in country transfer gone through yet? I confirmed the account info a couple days ago but the payment hasn't been posted yet.,0
The card can be used at which ATMs?,14
How old do you need to be to open an account?,2
I think the exchange rate for the cash I withdrew was wrong.,55
can I be charged for topping up by card,70
I made a transfer and am still waiting.,50
Why is this beneficiary being rejected?,74
"I made a transfer and according to the receiver ""they haven't received the right amount"" Its lesser than it should be.Now I have to transfer more money to make up for the missing amount . Can you please help me about this, what should be done ?",23
Can I change my PIN at any cash machines?,33
Why is the exchange rate for my payment incorrect?,1
I think my phone was stolen. What can I do?,27
"Hello, I am a new customer, and just tried topping up for the first time. According to your information, the transaction should be instant - why does it still show as pending?",68
I am not comfortable verifying my indentity.,10
How do I get money from friends?,53
What is this fee debit on my account?,29
"Can you point me in the right direction of where to go to roder a disposable virtual card, I can't seem to find it.",61
Is there any amount in which I would get cut off from topping up?,69
Can i receive transfers from my employer to this account?,53
"You will hear back from us about your verification results in 10 minutes to a one hour timeframe.  If these verification results do fail, please double-check to make sure your images are clear and have no glare or blur; your photos need to be fully readable.  You need to be 18 years of age or older and a resident of Switzerland or the European Economic Area to create an account.",60
Can I use my card in another institutions ATM?,14
I didn't know there was a charge for tranferring. What is the charge?,23
When should I expect my card?,41
"I am traveling, what can I do to set up auto top-up?",22
I made the incorrect payment for my rent yesterday and this needs to be fixed by no later than tomorrow. How can you help?,28
"I bought a product a week ago, but may need to return it.",37
I don't have the device I used to log onto the platform so I can't access it.,27
Earlier today I took money out the ATM. After checking the app the amount is so much higher than the amount I received.,9
Do I get a choice between Visa and Mastercard?,31
What should I do if I think my card was stolen?,30
I used my card the other day to get cash from an ATM and was charged an extra fee. I don't understand why I am being charged a fee all of a sudden. I thought it was free to withdraw from an ATM?,49
Do I need to replace my card if it didn't work when I tried to pay contactless at the shop today?,42
Are you aware of any charges for receiving money?,36
Will this app exchange currencies?,44
why couldn't I use my card at a store?,67
what is this charge i didnt do it what can i do,13
There's a payment with my card that I didn't perform. I don't know that name shown.,76
I made a cash deposit going to my account but it is not there,11
I made a check deposit but the cash hasn't arrived in my account yet.,11
I've got to have one of those virtual cards.,45
I need a new card and I live in the United States.,3
How can I fund my top-up account using my bank account?,40
The app won't identify me.,60
Do I get charged for withdrawals?,49
My card was charged more than expected.,17
When will the transfer be completed?,63
"I'm having a problem with a money transfer.  I sent some money to a friend a couple of hours ago, and they haven't received it yet.  Why hasn't it gotten to them? How long do transfers need to go through?",0
Will I get a real card?,57
